exp_industry_code,exp_industry_desc
1,ADVERTISING/MKTG SVCS
2,AEROSPACE/DEFENSE
3,AEROSPACE/DEFENSE EQUIP
4,AGRICULTURAL OPERATIONS
5,APPLIANCES-HOUSEHOLD
6,AUDIO/VIDEO HOME PROD
7,AUTO MFRS-DOMESTIC
8,AUTO MFRS-FOREIGN
9,RETAIL/WHLSLE-AUTO PARTS
10,AUTO/TRUCK-ORIGINAL EQP
11,AUTO/TRUCK-REPLACE PRTS
12,BANKS-FOREIGN
13,BANKS-MIDWEST
15,BANKS-NORTHEAST
16,BANKS-SOUTHEAST
17,BANKS-SOUTHWEST
18,BANKS-WEST
19,BEVERAGES-ALCOHOLIC
20,BEVERAGES-SOFT DRINKS
21,BLDG & CONST PROD-MISC
22,BLDG PROD-AIR COND/HEAT
24,BLDG PROD-LIGHTING FIXT
25,BLDG PROD-RETAIL/WHLSLE
26,BLDG PROD-WOOD
27,BLDG-CEMENT/CONCRT/AG
28,BLDG-HEAVY CONST
29,BLDG-MAINTENANCE & SVC
30,BLDG-MOBILE/MFG & RV
31,BLDG-RESIDENT/COMMRCL
32,BROADCASTING-RADIO/TV
33,CABLE TV
34,CHEMICALS-DIVERSIFIED
35,CHEMICALS-FIBERS
36,CHEMICALS-PLASTICS
37,CHEMICALS-SPECIALTY
38,COAL
39,COMPUTER-GRAPHICS
40,COMPUTER-MAINFRAMES
41,COMPUTER-MICRO
42,COMPUTER-PERIPHERAL EQ
43,COMPUTER-SERVICES
44,COMPUTER-SOFTWARE
45,CONTAINERS-METAL/GLASS
46,CONTAINERS-PAPER/PLASTIC
47,COSMETICS & TOILETRIES
48,DIVERSIFIED OPERATIONS
49,ELEC-SEMICONDUCTORS
50,ELEC-MISC COMPONENTS
51,ELEC MEASRNG INSTRUMENTS
52,ELEC PRODUCTS-MISC
53,ELEC-CONNECTORS
54,ELECTRONIC PARTS DISTRIB
55,ELECTRONICS-MILITARY SYS
57,ENGINEERING/R&D SVCS
58,ENGINES-INT COMBUSTION
59,FERTILIZERS
60,FIBER OPTICS
61,FINANCE-CONSUMER LOANS
62,FINANCE-INVESTMENT BKRS
63,FINANCE-INVESTMENT MGMT
64,FINANCE-LEASING COS
65,FINANCE-MRTG & REL SVC
66,FINANCE-PUBLIC TD INV FD
67,FINANCE-SAVINGS & LOAN
68,FINANCE-SBIC & COMMRCL
69,FINANCE-MISC SERVICES
70,FOOD ITEMS-WHOLESALE
72,FOOD-CONFECTIONERY
73,FOOD-DAIRY PRODUCTS
75,FOOD-MEAT PRODUCTS
76,FOOD-MISC/DIVERSIFIED
78,FUNERAL SVCS & REL
79,FURNITURE
80,GLASS PRODUCTS
81,HOTELS & MOTELS
82,INDSTRL AUTOMTN/ROBOTICS
83,INSTRUMENTS-CONTROL
84,INSTRUMENTS-SCIENTIFIC
85,INSURANCE-ACC & HEALTH
86,INSURANCE-BROKERS
87,INSURANCE-LIFE
88,INSURANCE-MULTI LINE
89,INSURANCE-PROP/CAS/TITLE
90,LASERS-SYS/COMPONENTS
91,LEISURE & RECREATION PROD
92,LEISURE & RECREATION SVCS
93,UNIFORM & RELATED
94,MACHINE-TOOLS & REL PROD
95,MACHINERY-CONST/MINING
96,MACHINERY-ELEC UTILITY
97,MACHINERY-ELECTRICAL
98,MACHINERY-FARM
99,MACHINERY-GEN INDUSTRIAL
100,MACHINERY-MATERIAL HDLG
101,MACHINERY-PRINTING TRADE
102,MACHINERY-THERMAL PROC
103,MEDICAL INSTRUMENTS
104,MEDICAL PRODUCTS
105,MEDICAL-BIOMED/GENETICS
106,MEDICAL-DRUGS
107,MEDICAL-GENERIC DRUGS
108,MEDICAL-HLTH MAINT ORG
109,MEDICAL-HOSPITALS
110,MEDICAL-NURSING HOMES
111,MEDICAL-OUTPNT/HM CARE
113,MEDICAL/DENTAL-SUPPLIES
114,MINING-GOLD
115,MINING-IRON
116,MINING-MISC
117,MINING-NON FERROUS
118,MINING-SILVER
119,METAL PROC & FABRICATION
120,METAL PROD-DISTRIBUTOR
121,METAL PROD-FASTENERS
122,MOVIE/TV PRODUCTION/DISTRIB
123,CONSUMER PROD-MISC DISCRECTN
124,OFFICE AUTOMATION & EQP
125,OFFICE SUPPLIES & FORMS
126,OIL & GAS-U S ROYALTY TR
127,OIL FIELD MACH & EQUIP
128,OIL REFINING & MARKETING
129,OIL & GAS-CDN EXP & PROD
130,OIL & GAS-CDN INTEGRATED
131,OIL & GAS-FIELD SERVICES
132,OIL & GAS-INTL INTEGRATED
133,OIL & GAS-INTL SPECIALTY
134,OIL & GAS-DRILLNG
135,OIL & GAS-PROD/PIPELINE
136,OIL & GAS-U S EXPLO & PROD
137,OIL & GAS-U S INTEGRATED
138,COMPUTER-OPTICAL RECOGNITN
139,PAINTS & ALLIED PRODUCTS
140,PAPER & PAPER PRODUCTS
141,PAPER-BUS FORMS
143,POLLUTION CONTROL EQ & SVS
144,PRECIOUS METALS/JEWELRY
145,PRINTING-COMMERCIAL
146,PROTECTION-SFTY EQ & SVC
147,PUBLISHING-BOOKS
148,PUBLISHING-NEWSPAPERS
149,PUBLISHING-PERIODICALS
151,REIT-MORTGAGE TRUST
152,REAL ESTATE DEVELOPMENT
153,REAL ESTATE OPERATIONS
154,RETAIL-APPAREL/SHOE
155,RETAIL-MAIL ORDER & DIRECT
156,RETAIL-CONSUMER ELECT
157,RETAIL-CONVENIENCE STRS
158,RETAIL-DISCOUNT & VARIETY
159,RETAIL-DRUG STORES
160,RETAIL-FOOD & RESTAURANTS
161,RETAIL-HOME FURNISHINGS
162,RETAIL-JEWELRY STORES
163,RETAIL-MAIL ORD
164,RETAIL-MJR DEPT
165,RETAIL-MISC/DIVERSIFIED
166,RETAIL-REGNL DEPT STRS
167,RETAIL-SUPERMARKETS
168,RETAIL-VENDING
169,RETAIL/WHLSLE COMPUTERS
170,RUBBER & PLASTIC PRODUCTS
171,RUBBER-TIRES
172,SCHOOLS
173,SHOES & REL APPAREL
174,SOAP & CLNG PREPARATNS
175,STEEL-PIPE & TUBES
176,STEEL-PRODUCERS
177,STEEL-SPECIALTY ALLOYS
180,TEXTILE-APPAREL MFG
181,TEXTILE-HOME FURNISHING
182,TEXTILE-MILL PRODUCTS
183,TOBACCO
184,TOOLS-HAND HELD
185,TOYS/GAMES/HOBBY PROD
186,TRANSPORT-AIR FREIGHT
187,TRANSPORTATION-AIRLINE
188,TRANSPORTATION-EQP & LSNG
189,TRANSPORTATION-RAIL
190,TRANSPORTATION-SHIP
191,TRANSPORTATION-SVCS
192,TRANSPORTATION-TRUCK
193,UTILITY-ELECTRIC POWER
194,UTILITY-GAS DISTRIBUTION
196,UTILITY-WATER SUPPLY
197,WIRE & CABLE PRODUCTS
198,COMPUTER-NETWORKS
199,COMPUTER-MINI
200,GAMING
202,COMPUTER-STORAGE DEVICES
203,COMPUTER-INTEGRATED SYSTEMS
204,BANKS-MAJOR REGIONAL
205,BUSINESS SERVICES
206,BUSINESS INFORMATION SERVICES
207,CONSUMER PROD-MISC DISCRECTN
208,MEDIA CONGLOMERATES
209,ELECTRONICS-MANUFACTURING MACH
210,RETAIL/WHOLESALE AUTO/TRUCK
211,INTERNET COMMERCE
212,INTERNET CONTENT
213,INTERNET SERVICES
214,INTERNET SOFTWARE
215,MEDICAL INFORMATION SYSTEMS
216,BUSINESS SOFTWARE SVCS/BPO
217,INTERNET SOFTWARE/SVCS
218,IT SERVICES
219,INTERNET SERVICES - DELIVERY
220,OIL REFINING & MARKETING MLP
221,OIL/GAS PROD PIPELINE MLP
222,INTERNATIONAL E&P
223,EMERGING MARKETS INTEGRATED
224,E&P MLP
225,LARGE CAP PHARMA
226,SEMI-COMMUNICATIONS
227,SEMI-RADIO FREQ
228,COMM INFRASTRUCTURE
229,WIRELESS EQUIPMENT
230,COMMUNICATIONS COMPONENTS
231,COMM NETWORK SOFTWARE
232,DIVERSIFIED COMM SERVICES
233,WIRELINE - NATIONAL
234,WIRELINE - REGIONAL (RURAL)
235,WIRELINE - NON-US
237,SATELLITE COMMUNICATION
238,WIRELESS NATIONAL
239,WIRELESS-RURAL (REGIONAL)
240,WIRELESS NON-US
241,SEMI-GENERAL
242,SEMI-ANALOG & MIXED
243,SEMI-MEMORY
244,SEMI-PRO LOGIC DEV
245,SEMI-GRAPHICAL
246,SEMI-POWER
247,SEMI-DISCRETES
248,SEMI-EQPT WAFER FAB
249,SEMI-EQPT WAFER COMP
251,SEMI-EQPT PHTOMASK
253,SEMI-EQPT MATERIAL SVS
254,ELEC POWER
257,ELECT CONSTRUCTION
260,ELEC TEST EQUIPMENT
261,ELEC MANUF SVS (EMS)
262,SEMI FAB FOUNDRIES
263,ELEC MISC SERVICES
264,REIT-EQTY TRUST - RETAIL
265,REIT-EQTY TRUST - RESID
266,REIT-EQTY TRUST - OTHER
268,SOLAR
270,BIOFUELS
273,OTHER ALT ENERGY
274,NANOTECHNOLOGY
275,AGRICULTURE/PRODUCTS
276,SECURITIES EXCHANGES
277,CONSULTING
278,STAFFING
280,AUCTION/VALUATION SERVICES
281,OUTSOURCING
282,FINANCIAL TRANSACTION SERVICES
283,TECHNOLOGY SERVICES
284,GOVERNMENT SERVICES
285,MEDICAL SERVICES
286,INDUSTRIAL SERVICES
287,WASTE REMOVAL SVCS
288,BUSINESS/OFFICE PRODUCTS
289,CONSUMER PROD-MISC STAPLES
